"Job Title","Company","Location","Posted Via","Source Site","Date Posted","Job URL","Remote","Salary","Job Type","Description"
"Java springboot engineer Web payment checkout solution","Waya Bank","","","linkedin","N/A","https://www.linkedin.com/jobs/view/4356850353",False,"","N/A","N/A..."
"Senior Full Stack Engineer","Priority Soft","","","linkedin","2026-01-28","https://www.linkedin.com/jobs/view/4356194277",False,"","N/A","N/A..."
"Senior Full-Stack Software Engineer, Applied AI","Jobgether","","","linkedin","2026-01-27","https://www.linkedin.com/jobs/view/4366306838",False,"","N/A","N/A..."
"Senior Full-Stack Software Engineer, CMS","Jobgether","","","linkedin","2026-01-28","https://www.linkedin.com/jobs/view/4366711157",False,"","N/A","N/A..."
"Senior Fullstack Engineer (Remote from Nigeria)","Jobgether","","","linkedin","2026-01-26","https://www.linkedin.com/jobs/view/4366213239",True,"","N/A","N/A..."
"Flutter Mobile App Developer (Fullstack)","Civic Innovation Lab","Abuja, FC, NG","","indeed","2026-01-25","https://ng.indeed.com/viewjob?jk=307011ae01eec212",False,"","temporary, parttime, contract","**Brandz Digital** is a full-service integrated brand storytelling agency in Abuja that harnesses the power of creative media, digital marketing, storytelling, and technology to create memorable digital experiences that support business growth. At Brandz Digital, we strongly believe that every brand has a unique story that can be amplified across the digital space through strategic-driven content that leads to increased brand visibility and conversions.

From mobile app to web design and development, into content strategy and curation, search engine optimization (SEO), digital marketing, Integrated brand campaign development, visual & interactive design, and video productions, we provide end-to-end solutions that give brands a compelling digital presence.'

**Job Brief**

We are looking for a qualified flutter mobile app developer to join our tech and development team. Someone with experience building cross-platform applications **and can integrate AI functionalities** into mobile products. The ideal candidate is not just a coder, but someone who understands user experience and has an innovative mindset for integrating AI tools into an app.

As a Flutter Mobile developer, you’ll collaborate with our internal teams to develop functional mobile applications, while working in a fast-paced environment. Ultimately, your contract will be project-based and you should be able to design and build the next generation of mobile applications.

If you’re passionate about usable everyday tech products, mobile app platforms and translating code into user-friendly apps, we would like to meet you.

**Job Responsibilities**

* Continuously discover, evaluate, and implement new technologies to maximize development efficiency
* Support the entire application lifecycle (concept, design, test, release, and support)
* Integrate AI/ML features (such as GPT APIs, recommendation engines, or vision-based tools)
* Produce fully functional mobile applications writing clean code
* Gather specific requirements and suggest solutions
* Design interfaces to improve user experience
* Liaise with the Product development team to plan new features
* Ensure new and legacy applications meet quality standards
* Research and suggest new mobile products, applications and protocols
* Stay up-to-date with new technology trends

**Job Requirements**

* Minimum of 3years+ proven work experience as a Mobile app developer
* Demonstrable portfolio of released applications on the App Store or the Android market
* In-depth knowledge of; ReactJS, HTML and CSS/SCSS, Node.js/Express TypeScript, PostgreSQL Database, Laravel
* Experience deploying applications on AWS, Digital Ocean & OVH
* Solid understanding of REST APIs, Firebase, and backend integration.
* Experience working with AI tools such as OpenAI API, TensorFlow Lite, Dialogflow, or similar.
* Experience with third-party libraries and APIs
* Familiarity with OOP design principles
* Excellent analytical skills with a good problem-solving attitude
* Ability to perform in a team environment
* Ability to meet up with strict deadlines
* BSc degree in Computer Science, Computer Engineering, Systems Engineering or relevant field
* Additional knowledge of Artificial Intelligence might give you an added advantage.

If you feel you are the right candidate for this role, send your CV, Cover Letter and links to your app portfolio to careers@brandz.digital

Job Types: Part-time, Temporary, Contract  
Contract length: 3 months

Pay: ₦250,000.00 - ₦350,000.00 per month

Application Question(s):

* Add Portfolio..."
"Frontend Developer","Walex Biz Group","Abuja, FC, NG","","indeed","2026-01-27","https://ng.indeed.com/viewjob?jk=8f9dcbb70a3c5c2d",False,"","contract","### **Job summary**

We are seeking a Front End Developer. You'll design and implement responsive user interfaces, collaborating with cross-functional teams to enhance user experiences. Proficiency in HTML, CSS, and JavaScript frameworks is required.

Min Qualification: HND Experience Level: Entry level Experience Length: 2 years

### **Job descriptions & requirements**

**Responsibilities:**

  

* Determining the structure and design of web pages.
* Ensuring user experience determines design choices.
* Developing features to enhance the user experience.
* Striking a balance between functional and aesthetic design.
* Actively participate in the overall application lifecycle.
* Focus on coding and debugging.
* Collaborate with front-end developers.
* Define and communicate technical and design requirements.
* Build a high-quality reusable code that can be used in the future.
* Create sustainable and functional web applications with clean code.
* Learn about new technologies and stay up-to-date with current best practices.
* Conduct UI tests and optimize performance.
* Train, help, and support other team members.
* Ensuring web design is optimized for smartphones.
* Building reusable code for future use.
* Optimizing web pages for maximum speed and scalability.
* Utilizing a variety of markup languages to write web pages.
* Maintaining brand consistency throughout the design.

  

**Requirements:**

* Must have a minimum of 2-3 years experience
* Proficiency in HTML, CSS, and JavaScript.
* Knowledge of React.js, Next.js, Tailwind CSS, and React Native is an advantage.
* Strong understanding of the web development cycle and programming techniques
* Must be available for the on-site job.
* Must be an excellent team player.
* Must reside in Abuja...."
"Full Stack Developer","Casalavoro","Abuja, FC, NG","","indeed","2026-01-23","https://ng.indeed.com/viewjob?jk=73e193cdfb4c6b4c",False,"","fulltime","### **Job summary**

The Full Stack Developer will be responsible for automating Casalavoro’s operations and developing scalable web and mobile applications that support hospitality, real estate, finance management, and commodities businesses. The role focuses on building smart, efficient, and secure digital systems that enhance service delivery, internal controls, and user experience.

Min Qualification: Degree Experience Level: Entry level Experience Length: 2 years

### **Job descriptions & requirements**

**Responsibilities:**

  

* Design and implement automated management systems (check-in/check-out, access control, utilities monitoring, maintenance requests, housekeeping schedules).
* Develop dashboards for real-time monitoring of operations.
* Integrate smart solutions (IoT-ready systems where applicable) for improved operational efficiency.
* Develop and maintain web applications for internal and customer-facing use.
* Build applications for bookings, payments, complaints, inventory tracking, and service requests.
* Ensure applications are scalable, secure, and user-friendly.
* Build responsive interfaces using modern frameworks (React, Vue, Angular).
* Translate UI/UX designs into high-quality user experiences.
* Ensure cross-platform and cross-device compatibility.
* Develop robust APIs and server-side logic.
* Manage databases and ensure data integrity, security, and performance.
* Implement authentication, authorization, and role-based access controls.
* Integrate apps with internal systems (HR, finance, inventory, procurement).
* Automate operational workflows to reduce manual processes.
* Ensure seamless data flow across departments.
* Perform unit testing, debugging, and system optimization.
* Deploy applications and manage updates and patches.
* Monitor system performance and resolve technical issues promptly.
* Document system architecture, workflows, and APIs.
* Collaborate with operations, real estate, residence, and hospitality teams.
* Train internal users on deployed systems where required.

  

**Requirements:**

* Bachelor's degree in Computer Science, Software Engineering, or a related field.
* Minimum of 2–5 years of experience in full-stack development.
* Proven experience in automation systems and app development is mandatory.
* Experience in hospitality, real estate, and financial systems is an added advantage.
* Strong proficiency in HTML, CSS, and JavaScript.
* Experience with front-end frameworks (React, Angular, or Vue).
* Back-end development using Node.js, Python, PHP, or Java.
* App development experience (Flutter, React Native).
* Database management (MySQL, PostgreSQL, MongoDB).
* Cloud deployment experience (AWS, Azure, or GCP).
* API development and integration experience.
* Strong problem-solving and analytical skills.
* High level of discipline, confidentiality, and accountability.
* Ability to work independently and across multiple business units.
* Excellent communication and documentation skills...."
"Mobile Front-End UI/UX Designer","EmpowerHer Tech Foundation","Abuja, FC, NG","","indeed","2026-01-29","https://ng.indeed.com/viewjob?jk=ad1c48b81a6b48c8",False,"","fulltime","Job Summary

The Mobile Front-End UI/UX Designer will be responsible for designing intuitive, visually appealing, and user-centered mobile application interfaces. The role focuses on creating seamless user experiences, translating product requirements into functional designs, and collaborating closely with developers to ensure accurate implementation across Android and iOS platforms.

**Key Responsibilities**

* Design user-friendly mobile app interfaces with a strong focus on usability and aesthetics.
* Create wireframes, user flows, mockups, and interactive prototypes.
* Conduct user research and usability testing to inform design decisions.
* Translate product requirements into intuitive UI/UX solutions.
* Collaborate with mobile developers to ensure pixel-perfect implementation.
* Maintain and evolve the mobile design system and UI components library.
* Ensure consistency of branding, colors, typography, and interaction patterns.
* Optimize designs for performance, accessibility, and responsiveness.
* Iterate designs based on user feedback, analytics, and business goals.
* Stay updated on mobile design trends and platform guidelines (iOS & Android).

**Selection Criteria**

* 2–5 years experience in mobile UI/UX design.
* Strong portfolio showcasing mobile app designs.
* Proficiency in Figma, Adobe XD, Sketch, or similar tools.
* Solid understanding of iOS Human Interface Guidelines and Material Design.
* Experience working with developers on production apps.
* Knowledge of UX research, usability testing, and design thinking.
* Strong attention to detail and visual storytelling skills.
* B.Sc/HND in Design, Computer Science, or related field

Job Type: Full-time

Pay: ₦300,000.00 - ₦350,000.00 per month..."
"Volunteer Flutter Mobile App Developer","Nurri AI","Ibadan, Oyo State, Nigeria","","linkedin","N/A","https://www.linkedin.com/jobs/view/4356840183",False,"","N/A","N/A..."
